main_category,title,description
Grocery,"Instant Compostable Espresso Capsules, Lungo Medium Roast, 10 Plant-based Capsules, From the Makers of Instant Pot, Eco-Friendly, 100% Organic, Arabica Capsules with Compostable Freshness Bag","['Instant® Compostable Espresso Capsules deliver delicious espresso in an eco-friendly pod that fits Instant Dual Pod coffee makers and brewers that accept Nespresso® OriginalLine capsules *. This medium roast espresso is smooth, full-flavored and with citrus acidity, with notes of caramel and berries. The capsules are made from plant-based and/or other compostable materials to help reduce overflowing landfills and return nutrients back to the soil. Instant® Compostable Espresso Capsules are better for the planet, better for farmers and better for you!']"
Grocery,"RXBAR, RX A.M. Oats, Variety Pack, 9ct, 2.18oz Cups, 9 Gluten Free Oatmeal Cups","['With 12 grams of protein and simple ingredients like egg whites, fruit, almonds and gluten-free oats, our oatmeal cups make quick and easy breakfast something to look forward to.']"
Grocery,"TAJ Indian Poha Powa Flattened Rice (Thick, 4-Pounds)",['TAJ Gourmet Foods provides the best of quality.']
Grocery,"Edible Markers,Food Coloring Markers,Food coloring Pens,6 Colors Food Grade pen,Thick Tip and Fine Tip , Gourmet Writers for Decorating Fondant,Cakes,",[]
Grocery,"Glendee Toasted Coconut Chips,Honey, 1.41 Ounce Bags","[""Coconut chips are a healthy snack with all the benefits of coconut oil. They are made from the copra (coconut meat), sliced out and toasted with sugar and salt. With abundant protein and fiber, it's okay to become addicted to this versatile snack. As a snack, they're popular in Thailand. As an ingredient, they go great with dishes from all over the world. Recommended uses: as a topping for yogurt, salads, ice cream, baked goods, cereal, pancakes, and whatever else needs a sweet, crunchy, flavorful boost. Our caramel sea salt flavor uses 100% coconut sugar to achieve a burnt caramel taste that'll have you saying that's good. Ingredients :Coconut, Sugar, Sea Salt ,Caramel Flavor .""]"
Grocery,"Bulletproof Bars Collagen Protein, Chocolate Chip Cookie Dough, Perfect Snack for Keto Diet, Paleo, Gluten-Free, Sugar Free, for The Whole Family (4 Pack)",[]
Grocery,"Strawberry Delights Hard Candy, 3 lb Bag in a BlackTie Box","['About This BlackTie Box:', 'Introducing the BlackTie Box by Black Tie Mercantile, the first and only gift-ready packaging system designed for the unique challenges of E-Commerce. Whether you choose to ship directly to a recipient or to yourself, your item is guaranteed to arrive exactly as described and photographed.   Columbina was founded in 1927 by Hernando Caicedo, a sugar mill operator from the Cauca Valley in Colombia. By mixing sugar from the mill with a variety of local fruits, Caicedo realized that he could infuse the flavor of his fertile homeland into delicious confections. Since then, Columbina has continued to expand into the international market, developing new and exciting confections and food products.   Now get a BlackTie Box for any occasion featuring one 3 lb bag of Columbina Strawberry Delights Hard Candy.']"
Grocery,"Grandpa Po's Originals Grandpa Po's Variety Box, 5 Ounce Bags (Pack of 6)","[""Grandpa Po's Originals, the crunchy organic popcorn snack with soybeans, are so deliciously different, they're difficult to describe. Made from golden half-popped nuggets of organic popcorn, dry-roasted organic soybeans and a gentle touch of seasonings, Grandpa Po's Originals are a tasty treat, that's both nutritious and fun to eat! This attractive Gift Box comes packed with six (three each of Slightly Unsalted and Slightly Spicy ) ready-to-eat 5 oz. bags. Grandpa Po's have a long shelf life.""]"
Grocery,"Eden Organic Gomasio, Sesame Seeds and Sea Salt, Umami, Traditional, Furikake, Seasoning, Macrobiotic, 3.5 oz (2-Pack)",[]
Grocery,"Newtons Fat Free Soft & Fruit Chewy Fig Cookies, 10 oz Pack","['Newtons Fat Free Soft and Fruit Chewy Fig Cookies offer the delicious, fruity flavor you enjoy from Newtons Fig Cookies, in a fat free snack. Made with real fruit for scrumptious taste, these fig bars are soft and chewy cookies for satisfying snacking. A classic square shape makes these fruit cookies ideal for quick snacks at home or lunchbox snacks at work or school. Grab a cookie pack for quick snack cookies while you run errands or as a breakfast cookie on the go. Each 29 gram serving of these fat free cookies includes 5 grams of whole grain and no high fructose corn syrup. Keep this pack of cookies in your desk for a quick nibble, or grab a few whole grain cookies after dinner for a simple dessert.']"
Grocery,"Godiva Chocolatier Assorted Chocolate Advent Calendar, Holiday Collection, 25-Pieces, 9 Ounce","['Let the countdown begin this gorgeous chocolate advent calendar, featuring a new premium assortment of the finest Christmas chocolates. This seasonal treat includes an irresistible assortment of Christmas chocolates in milk chocolate, dark chocolate, and white chocolate, including classic Godiva chocolates, chocolate carrés in festive wrappers, and chocolates in fun, seasonal shapes, including jolly Santa, wintry Penguin, and festive Snowman. A wonderful holiday gift idea, This Christmas Advent calendar is sure to delight young and old alike.']"
Grocery,"Peeled Snacks Organic Peas Please, Southwest Spice, 3.3 oz","['Product Description', 'We believe you should feel good about snacking. We make sure everyone has the option to eat a genuinely good tasting snack that’s as close to nature as possible. We’re committed to expanding the snacking aisle to create snacks that make a positive impact on you and the environment. Peeled Snacks energize your mind and body, and support the way snacks should be made – with real food!', 'From the Manufacturer', 'Feel Good About Snacking', 'Hungry for more than healthy snacks? At Peeled Snacks, we believe you should feel good about snacking. That’s why we developed strong partnerships with our farmers and suppliers to grow great tasting Organic, Non-GMO and Gluten Free ingredients and turn them into delicious fruit and veggie snacks that are as close to nature as possible.', ""Peeled Snacks are a convenient way to eat more fruits and veggies, no matter how busy life gets. When you buy Peeled Snacks, you know you're getting real food that is Delicious, Honest, Organic, Non-GMO Project Verified, Gluten Free, with No Added Sugar."", ""Each bag of our organic Peas Please is packed with 5g protein and 1/2 cup of veggies per serving. They'll fill you up and satisfy your salty snack craving without a sugar crash."", 'Since the beginning, we’ve worked closely with our farmers to help improve the environment and create good jobs by establishing farm cooperatives, increasing organic acreage, and building sustainable farming zones.', 'We don’t just want to be the best in the world, but best for the world. We seek to improve our world by setting higher standards of transparency, accountability, and performance along our entire supply-chain – it’s why we’re a B Corporation.', 'How do we make our delicious Peas Please?', ""The original organic pea snack, Peas Please are made with all natural, wholesome ingredients in a delicious, baked, crunchy snack. Each bag is packed with 5g protein and 1/2 cup of veggies per serving. They're the perfect on-the-go, healthy nibble!"", 'About the Startup', 'Describe your product in 3 words.', 'Real. Delicious. Satisfying.', 'How did you come up with the idea for this product?', 'In 2004, Noha founded Peeled Snacks in her tiny NYC apartment when she noticed something missing from the snack aisle: un-processed food made of real ingredients. Today, Noha continues to bring innovative, healthy snacks to market.', 'What makes your product special?', ""When you buy Peeled Snacks, you know you're getting real fruit and veggie snacks that are Delicious, Honest, Organic, Non-GMO Project Verified, Gluten Free, with No Added Sugar."", 'What has been the best part of your startup experience?', 'We love working closely with farmers to bring you tasty, high quality, and sustainable Organic and Non-GMO fruit and veggie snacks.']"
Grocery,CANDY MILKWAY DRK1.76OZ by MILKY WAY MfrPartNo 10455,[]
Grocery,Cherry Sours Chewy Candy Balls - 3 lbs of Tart Fresh Delicious Bulk Candy,['Sour Cherry Chewy Candy Balls - 3 lbs of Tart Fresh Delicious Candy. Buy in bulk to get more bang for your buck!']
Amazon Home,LINGPAR 22 Years Birthday Cake Topper - New Best Crystal Rhinestone 22nd Wedding Anniversary Or 22 Years Old Cake Topper Party Decoration Gold,[]
Grocery,"Yacona Organic Stevia Alternative, Keto Food Yacon Syrup Superfood, High Fiber & Low Carb, Sugar Free Non-GMO, Gluten Free, USDA Organic, 8 fl oz Glass Jar (Cacao)",[]
Grocery,"Fairhope Favorites Moonshine Hot Sauce (Aged & Charred, 12 oz Plastic)",[]
Grocery,Twizzlers Strawberry Twizzlers Licorice (2 lb. tub) - (Original from manufacturer - Bulk Discount available),[]
Grocery,Christmas Gift Delivery of Holiday Cheer,"[""Spread the gift of Holiday Cheer with this festive and fun holiday gift Perfect Christmas gift for all those on your list both near and far! Filled with wonderful gourmet treats to make christmas eve and beyond special and festive; things like coffee, mints truffles, cookies and more Great as corporate gifts, gifts for your neighbors and friends, or even as a holiday housewarming gift! Includes Holiday Nutcracker coffee. Chanberry chocolate truffles Smooth & Melty Holiday Petite Mints, 4 oz. 4.4 oz Angelina's Shortbread Butter Cookies. Butter Toffee Caramel Corn 2 oz. Stone Wheat Crackers, gold jingle bell, Festive Holiday Santa Decoration/Plant Pick in Red Holiday Wicker Tray. Adorned with spruce, pine cones and berries. Wrapped in cellophane and topped with a festive hand made holiday bow.""]"
Grocery,"Eat Well Premium Foods - White Mulberries 2 lbs 32oz - Dried Mulberries - All-Natural & Sun-Dried - Unsulfured, Bulk",['Dreid Mulberries']
Grocery,"Purely Elizabeth, Organic Apple Cinnamon, Oatmeal Pouch 10oz (3 Ct.), Gluten-Free, Instant, Non-GMO","[""Purely Elizabeth's Organic Apple Cinnamon Pecan Superfood Oatmeal is Certified Organic with no added sugar. Our Organic Apple Cinnamon Pecan Superfood Oatmeal combines our signature superfood blend of oats, quinoa, amaranth, chia and flax with dried apples, pecans and a dash of cinnamon for an irresistible texture and taste. Intentionally crafted without artificial flavors, each serving has 5 grams of fiber to get your day started right. With up to 7 servings per pouch, this simple breakfast option makes meal planning easy. Ready in as little as two minutes, this elevated oatmeal can be enjoyed hot, soaked in milk for overnight oats, or as an ingredient in your favorite recipe.""]"
Health & Personal Care,Maine Coast Dulse Bag Org,['Maine Coast Dulse Bag Org']
Grocery,Nucita Trisabor Mexican Candy 3 Flavors Chocolate Vanilla Fresa 54 ct,[]
Grocery,Maine Coast Sea Vegetables Organic Kelp Granules Salt Alternative ( 2 Pack ),['11']
Grocery,"Quevos Egg White Chips - Original Low Carb Egg Crisps, Crunchy Flavorful Protein & High Fiber Keto Snacks, Atkins Friendly, Gluten Free, Protein Crisp, Low Carb Chips - Honey Mustard, 1 Oz (Pack of 5)",[]
Grocery,"Fiesta Seasoning Fajita Salt Free, 5-Ounce (Pack of 6)","[""Enjoy Bolner's Fiesta Fajita Seasoning Salt Free. Spices, Garlic, Onion, Calcium Stearate (Free-Flow Agent) And Tenderizer (Proteolytic Enzyme Derived From Aspergillus Flavus Oryaze And From Papaya). (Note: Description is informational only. Please refer to ingredients label on product prior to use and address any health questions to your Health Professional prior to use.""]"
Grocery,DXN Vita Cafe 6 in 1 (Pack of 20),"['The uniqueness of DXN Vita Cafe! An exclusive 6-in-1 coffee added with Ginseng, Tongkat Ali and Ganoderma extract. A refreshing drink with exquisite traditional flavour and delightful distinctive aroma. It is easy to prepare; enjoy it at home, work, anywhere and anytime you want a cup of hot gourmet coffee. It is exciting and versatile - you can enjoy it hot, ice-cold, ice-blended or chilled! Only selected high quality ingredients are used. It is free from additives and preservatives. A complete health drink that is suitable for daily consumption. DXN Vita Cafe is conveniently prepared in the form of premix coffee for easy consumption. All you need to do is add the instant powder of Vita Cafe into a cup of hot water to experience the rich aroma of Vita Cafe.']"
Grocery,"Nespresso Capsules - Nespresso Pods 10 VARIETY SAMPLER PACK, Nespresso Original Compatible Espresso Pods with Extra Strong, Colombian, Cuban & Costa Rican Blends (100 Capsules)",[]
Grocery,"Potato Mini Red, 24 Ounce",[]
Grocery,"A&W Rootbeer Licorice Style Candy Twists Made with Real A&W Rootbeer by Kenny's Candy, 5 ounces (4 Packs)",[]
Grocery,"Origin Tea | Chamomile Tea | Loose Leaf Herbal Tea | Gourmet Hand-Picked Leaves | Calming, Relaxing & Peaceful | 75g",[]
Grocery,"Japanese Ramen ""ICHIRAN"" instant noodles, Kamadare Tonkotsu taste(pork bone soup) , 5 meals　(Japan Import) (1)",[]
Grocery,Golden Island Korean BBQ Pork 4Pack (14.5 oz Each),[]
Grocery,Demitri's Classic Bloody Mary Seasoning Mix - 16 oz,[]
Grocery,"Chung Jung One O'Food Ssamjang Dipping Sauce, Seasoned Soybean Paste, 7.5oz (215g) (Original)",[]
Grocery,"Haribo Halloween Sweet or Scary Mix, 11.85 oz Bag Aprox.22 count(Pack of 12)","['Have the best house on the block with HARIBO’s Sweet or Scary Mix. Sweet or Scary Mix includes treat-sized packs of fun seasonally-shaped Ghostly Gummies, and your everyday favorite, GOLDBEARS.']"
Grocery,"4C Green Tea Antioxidant Iced Tea Mix | Family Sized Cannister | Thirst Quenching Flavor | 20 quarts (Green Tea, 2 pack)","['4C Foods is a family owned business since 1935 that is steeped in their founding tradition of offering only the highest quality products and understanding the needs of the American family. This is why 4C Foods is continually creating and innovating new products to satisfy the needs of the consumer, while maintaining the highest quality and remaining sensitive to the buying power of the average family. When other companies are focused on the selling their brand, 4C Foods keeps their eye on making the best products at the best prices. We strongly believe that satisfying the needs of the consumer will translate into a loyal 4C Foods customer.']"
,"Cedevita Orange Instant Vitamin Drink Mix 500g (17,64 oz), 3-Pack, makes 19.5 Liter","['The Perfect Formula. Cedevita is suitable for all age groups, and its presence in millions of households makes it a synonym for a healthy, refreshing, vitamin drink, favoured by everyone.']"
Grocery,Organic Bell Pepper Dried Flakes - Red Sweet Peppers - Red Bell Peppers Organic - Pepper Bell Peppers Bell Pepepr Bellpepper Dry Red Peppers Bell Pepper Red Bell Pepper Flakes Red Pepper 100g,['Organic Bell Pepper Dried Flakes - Red Sweet Peppers - Red Bell Peppers Organic - Pepper Bell Peppers Bell Pepepr Bellpepper Dry Red Peppers Bell Pepper Red Bell Pepper Flakes Red Pepper 100g']
Grocery,"MIGHTY LEAF Organic Ginger Peach Iced Tea, 21 CT","['Save on Mighty Leaf Tea Peach. Made from Black Tea, Ginger, Natural Ginger Peach Flavor (OC), Peach Flavor. Ingredients Updated: 4/4/2011 (Please check the ingredients before use. If in doubt please talk to your health professional before use.)']"
Grocery,Filled Raspberries - 1.5 lbs of Individually Sweet Raspberry Wrapped Bulk Hard Candy,['Filled Raspberries - 1.5 lbs of Individually Wrapped Bulk Hard Candy']
Grocery,"Mocha Chocolate Cappuccino Single Cup, Christopher Bean Coffee (18 Count Box) Compatible With K Cup Brewer.",[]
Grocery,Desert Gardens Spices (Habanero),"['Tasty and delicious this seasoning will add zest and flavor to any meal. Ingredients: Habanero, Garlic, Salt, Onion, Cilantro']"
Grocery,"ChocolateWise Gourmet Chocolate Gift Box Assorted Variety Choco Truffle Gift Basket  (Regular Cover, 24 Count)","['A Collection of Sweet Sophistication by ChocolateWise Discover a luscious gamma of flavor, carefully handpicked by ChocolateWise; fresh strawberry, lush cappuccino, deluxe praline, chewy caramel, and soft caramel toppings- all mouth-watering & rich in taste. Quite Simply, The Most Versatile Gift that Always Satisfies Valentine’s Day- for a sweet, romantic gesture that says “I Love You” Mother’s Day- to give back to the woman of your life in the sweetest way Father’s Day- to show appreciation by satisfying Dad’s sweet tooth Birthdays- to say how special friends or family are to you Anniversaries- because like milk & chocolate, you were simply meant to be Packaged in a deluxe, gift box with a royal ribbon on top, you can mark the occasion as the sweetest day on anyone’s calendar. Chocolate Creations that Win You Over in a Single Bite Irresistibly Luxurious- Each truffle is a carefully curated recipe that balances richness, smoothness, and sweetness, for unforgettable bites. Fresh is Always Best - We make a point by using only the freshest, finest ingredients to create truly remarkable truffles that vary yet always satisfy. Made with Passion in Brooklyn, NY-In order to maintain complete control & consistency over our production, we choose to manufacture everything in Brooklyn, NY. Made by Master Chocoholics, For Everyone Explore our fine, handmade selection of cocoa goodness that is diverse and all-inclusive; whether you like your chocolate fruity, salty, light, dark or pure, we have just the thing for everyone. A World of Sweet Delight Awaits! Click Add to Cart & Treat Your Senses to the Sweetest Journey Yet!']"
Grocery,A'Dough Lavash Bread,"['Organic Soft lavash bread pre cut into 7""x 7"" squares. 3.5 lb. in a box. This lavash bread is manufactured in USA.']"
Grocery,"Chef-mate Chorizo Breakfast Sausage Skillet, Canned Meat, Great for Camping Meals, 6 lb 11 oz Bulk Can","['Chef-mate Chorizo Skillet is a flavorful chorizo sausage mixed with bell peppers, onions and hearty potatoes brought to life with the perfect blend of seasoning. Chef-mate Chorizo Skillet can easily add a premium appeal to breakfast and brunch menu options, combining classic breakfast ingredients in a delicious way. Unlike canned competitors, Chef-mate products are Cooked Before Canning under pressure to avoid scorching and boiling, preventing tinny or canned flavor and preserving all the distinctive flavors, textures and colors of our premium ingredients. Packed in an easy-to-stack, shelf stable #10 can, our Chorizo Skillet is ready to eat with superior steam table holding time of 8 hours. Refrigerate unused portions. Chef-mate. Quality for over 50 years. True food. Not fussy. Not trendy. Good-eating food with honest flavor and genuine value, true to who you are and what your customers want. Quality that recognizes your need for tastier, easier, faster, better. Authentic, reliable Chef-mate.']"
Home Audio & Theater,Crystal Geyser Plain 18 oz (Pack Of 6),[]
Grocery,"REGALIS FOODS Honeycomb Black Truffle, 3 OZ",[]
Grocery,Route 11 Potato Chips : Lightly Salted (15 bags (2 oz each)),[]
Grocery,Cakecery Naturo Edible Cake Image Topper Personalized Birthday Cake Banner 1/4 Sheet,"['INGREDIENTS:', 'We have used 100 % edible materials in the creation of the best edible cake toppers. Please see below the complete list of ingredients used;', '✔ Icing Sheets: Starch (E1422, E1412)', '✔ Maltodextrin', '✔ Glycerin', '✔ Sugar', '✔ Water', '✔ Stabilizers (E414, E460i)', '✔ Dextrose, Emulsifiers (E435, E491, E471)', '✔ Food Colour (E171)', '✔ Aroma (Vanilla)', '✔ Preservatives (E202, E330)', '✔ Edible Inks: Water', '✔ Humectant: E422', '✔ Dyes: E102 E122 E124 E133', '✔ Acidic Medium: E330', '✔ Preservative: E202', 'HOW TO APPLY:', 'Our edible cake decorations are suitable for vegans and vegetarians. You can stick this edible paper on the icing, melted chocolate, buttercream, and jam. Please see instructions for application;', '✔ First, you will require a sharp and dry scissor to cut around the images.', '✔ Peel off the backing and apply the topper to your cake.', '✔ If the base layer is also icing, the topper might bond to it. On different bases, it will simply rest.', '✔ Please ensure the base is not too moist, or the topper may soak it up and the colors may run.', '✔ If in doubt, apply at the last minute!', 'SPECIAL NOTE:', '✔ Useful life is 9 months from the date of purchase if they are kept in original packaging.', '✔ If left exposed for long, it may harden, so keep it in the sealed bag and handle as little as possible.', '✔ Keep them away from making, contact with water and heat.', '✔ Do not store in the fridge.', 'MONEYBACK:', 'Our Products are refund protected. You can claim a 100 % refund on the product purchase price if you do not receive the product in its pristine condition.']"
Grocery,"Trident Vibes SOUR PATCH KIDS Redberry Sugar Free Gum, 40 Piece Bottle","['Trident Vibes SOUR PATCH KIDS Redberry Gum packs all the fun of your favorite sour candy into a sugar free gum. With 35% fewer calories than sugared gum, this sugarless gum has only 5 calories per piece and is coated with a crunchy candy-like shell that’s packed with the irresistible SOUR THEN SWEET flavor of SOUR PATCH KIDS candy. Instead of packs of gum, Trident Vibes flavored gum is packaged in a convenient bottle, making it easy to stash almost anywhere. Keep a bottle of Trident Vibes SOUR PATCH KIDS gum in your desk, purse, car, travel pack or anywhere else you might crave a piece of fruit gum. Sugarless gum packs with xylitol are perfect for sharing with friends or coworkers or for stocking your home or small business. Whenever you need a long lasting chew, choose Trident Sugar Free Chewing Gum.']"
Grocery,Coffee Fool's Ethiopian Yirgacheffe (Coarse Grind),"['Spicy, fragrant and as exotic as its name. Yirgacheffe is one of the Ethiopian families of coffee that will be sure to delight with warm flavors and hints of sweetness. Thought of as one of the continents finest coffees']"
Grocery,Trader Joe's Joe Joe's Slims Chocolate & Vanilla Creme Cookies (2 Pack),"[""Try our Trader Joe's Joe Joe's Slims Chocolate & Vanilla Creme Cookies (2 Pack) today!""]"
Grocery,2 Bags x 110g of Malaco Tv Mix - Salmiakkinen (Salmiak Mix) - Salty Licorice Wine Gums Candy - Sweden,['Always fresh']
Grocery,Punch in the Nuts - Mixed Nut Variety 6 Pack - Trail Mix Sweet & Spicy - Gag Gifts for Men Stocking Stuffer,"['Bet you never thought you’d ask for a PUNCH IN THE NUTS!', '…but you seriously will after you try our delicious blends and trail mixes - Proudly', 'MADE IN THE USA']"
Amazon Home,Looney Tunes Cake Topper Buildable Figures Set of 8 Cake Topper Figurines,[]
Industrial & Scientific,"Woodstock Farms Organic Brazil Nut, 8.5 Ounce - 8 per case.8",[]
Grocery,Starbucks Medium Roast Whole Bean Coffee — Breakfast Blend — 100% Arabica — 1 bag (12 oz.),"[""We introduced this blend in 1998 for those who prefer a milder cup. A shade lighter than most of our offerings—more toasty than roasty—it was the result of playing with roast and taste profile together for a flavor that appealed to a wider range of palates. Perfect if you want to wake up to a less intense coffee but still want a lot of character, it's light and lively with a soft sweetness. Nestlé uses Starbucks trademarks under license""]"
Grocery,"Friendly Grains - Crunchy Rollers - Organic Rice Snacks, Crispy Puffed Rice Rolls, Healthy Snack Rolls for Adults and Kids - Apple Cinnamon (4 packs of 6)",[]
Grocery,Bobs Sweet Stripes Soft Peppermint Balls (51 Ounce),"[""Get a tub of 290 pieces of Bob's Sweet Stripes SOFT Mint candy. They are all individually wrapped.""]"
Grocery,"RITZ Cheese Sandwich Crackers, Family Size, 16 - 1.35 oz Packs","[""From meats and cheeses to spreads and more, the classic taste of Ritz Crackers pairs perfectly with just about any topping. Ritz Crackers are welcome at any gathering--no matter if it's a formal party or if you're just watching the game. Crispy and supremely snackable all on their own, Ritz Crackers are a tasty addition to any meal. Kids love them as an after-school reward, plus they're the perfect anytime snack for grown-ups. Ritz Crackers come in a variety of flavors to please any palate. Looking for a new twist? Try Ritz Bits Cracker Sandwiches, Ritz Handi Snacks, Ritz Toasted Chips, or RITZ Crisp & Thins.""]"
Grocery,"Yehuda Fiber Enriched Gluten Free Matzo Squares , 10.5oz (3 Pack) Imported from Israel, Kosher for Passover",[]
Grocery,"Materra Cacao Nibs - 100% Natural Roasted Unsweetened Cocoa Nibs - Gluten-Free, Vegan, Raw, Keto, High in Nutrients and Fiber - Immunity Booster for Snacking and Baking - 5.3 oz Bag",[]
Grocery,"Good Earth Black Tea Variety Pack, 4 Boxes, each with 18 bags","[""We're Good Earth and we make tea. But we don't just stick to the ordinary stuff. We seek out the exotic. The unexpected. The moments where you can really let loose. Because that's what tea should do. And so that's how we make it. We've been at this for 40+ years, planting our roots in the 1970s with our Sweet & Spicy which went from a local favorite to a country-wide “tell my friends but don't take mine” tea. Good Earth now has teas that span all sorts of tea varietals, herbs, botanicals and flavors … naturally good things carefully chosen and masterfully blended together for a one-of-a-kind taste experience.""]"
Grocery,Ezekiel 4:9 Golden Flax Sprouted Grain Crunchy Cereal 16 oz (Pack of 3),"['As described in the Holy Scriptures: Take also unto thee wheat and barley and beans and lentils and millet and spelt and put them in one vessel and made bread of it. - Ezekiel 4:9. Certified organic grains. The live grain difference! Did You Know? Food For Life Ezekiel 4:9 sprouted grain crunchy cereals are made from sprouted organic live grains, legumes, and seeds, and contain absolutely no flour. Sprouting is the only way to release all of the vital nutrients stored in whole grains. We add just the right amount of water to healthy, whole, organically grown grains to unlock dormant food energy and maximize nutrition and flavor. Beneficial enzymes are activated which cause the grains to sprout and become a living food. The enzymatic action increases valuable nutrients and also causes a natural change that promotes a more efficient assimilation of protein and carbohydrates.']"
Grocery,Bilberry Leaf Tea - Pure Herbal Tea Series by Palm Beach Herbal Tea Company (30 Tea Bags) 100% Natural,[]
Grocery,"SNICKERS® Ice Cream Bar, 2.8 oz (24 Count)","[""Made with creamy peanut butter ice cream, smooth caramel and crunchy peanuts and covered in a chocolate shell, SNICKERS Ice Cream Bars are a delicious treat that take satisfaction to a new, frozen level. SNICKERS Candy Ice Cream Bars are great for birthday parties, summer picnics or sharing with a friend. Treat yourself to a satisfying ice cream dessert when you have these bars of ice cream delivered to your house. There's no wrong way to enjoy the deliciousness of a SNICKERS Ice Cream Bar. Also try SNICKERS, MILKY WAY and M&M's Ice Cream Bars to get a taste of all of your favorite chocolate brands in ice cream.""]"
Grocery,"Sperlari Zanzibar Nougat Dark Chocolate with Hazelnuts, Large 8.81 oz Bar",[]
Grocery,"The Cravings Place Chocolate Chunk Cookie Mix, 23-Ounce Bags (Pack of 6)",['Sweetened vanilla flavored mix loaded with dairy free semi-sweet chocolate chunks. Makes wonderful drop or bar cookies or skip the baking and satisfy the cravings for cookie dough. Our motto is Allergen Free but not Taste Free. These are manufactured in our dedicated facility with only quality non allergen ingredients. They are easy to make with only minimal added ingredients needed.']
Grocery,Cadbury Twirl | Total 18 bars of British Chocolate Candy - Cadbury Twirl,"['Cadburys Chocolate Candy Treats, best of Cadbury British Chocolate. Cadbury Twirl. 18 Full size 34g chocolate bars. Taste the difference of British chocolate direct from UK. Full Size Bars']"
Grocery,"Manischewitz Matzo Meal Kosher For Passover Canister, 16 Ounce",['Premium quality matzo meal that is versatile for almost anything.']
Grocery,"Cup4Cup Gluten Free Wholesome Vanilla Cake Mix, 1.3 Pound","['Whip up a perfectly moist, spongy, gluten-free dessert that’s full of fiber and nutrients with cup for cup’s wholesome vanilla cake mix. Certified non-gmo and dairy-free.']"
Grocery,Colliers Welsh Butter with Sea Salt (8 ounce),[]
Grocery,"Quevos Egg White Chips - The Original Low Carb Egg Crisps, Crunchy Flavorful Protein & High Fiber Snacks, Keto Snacks, Diabetic & Atkins Friendly, Gluten Free, Protein Crisp, Low Carb Chips - Variety Bundle, 1 Oz Bags (Pack of 8)","['Quevos are the world first chips made from egg whites! Our Keto flavors are high protein, high fiber, and low carb— not to mention gluten free and grain free. If that doesn’t get you EGGCITED, we don’t know what will.']"
